Region,Date,Cumulative  Test positive,Expired,Discharged,Active,New Confirmed,New Deaths,New Recovered
AJK,26-02-20,0,0,0,0,0,0,0
Balochistan,26-02-20,0,0,0,0,0,0,0
GB,26-02-20,0,0,0,0,0,0,0
ICT,26-02-20,0,0,0,0,0,0,0
KP,26-02-20,0,0,0,0,0,0,0
Punjab,26-02-20,0,0,0,0,0,0,0
Sindh,26-02-20,0,0,0,0,0,0,0
AJK,27-02-20,0,0,0,0,0,0,0
Balochistan,27-02-20,0,0,0,0,0,0,0
GB,27-02-20,0,0,0,0,0,0,0
ICT,27-02-20,0,0,0,0,0,0,0
KP,27-02-20,0,0,0,0,0,0,0
Punjab,27-02-20,0,0,0,0,0,0,0
Sindh,27-02-20,0,0,0,0,0,0,0
AJK,28-02-20,0,0,0,0,0,0,0
Balochistan,28-02-20,0,0,0,0,0,0,0
GB,28-02-20,0,0,0,0,0,0,0
ICT,28-02-20,0,0,0,0,0,0,0
KP,28-02-20,0,0,0,0,0,0,0
Punjab,28-02-20,0,0,0,0,0,0,0
Sindh,28-02-20,0,0,0,0,0,0,0
AJK,29-02-20,0,0,0,0,0,0,0
Balochistan,29-02-20,0,0,0,0,0,0,0
GB,29-02-20,0,0,0,0,0,0,0
ICT,29-02-20,0,0,0,0,0,0,0
KP,29-02-20,0,0,0,0,0,0,0
Punjab,29-02-20,0,0,0,0,0,0,0
Sindh,29-02-20,0,0,0,0,0,0,0
AJK,01-03-20,0,0,0,0,0,0,0
Balochistan,01-03-20,0,0,0,0,0,0,0
GB,01-03-20,1,0,0,1,1,0,0
ICT,01-03-20,0,0,0,0,0,0,0
KP,01-03-20,0,0,0,0,0,0,0
Punjab,01-03-20,0,0,0,0,0,0,0
Sindh,01-03-20,1,0,0,1,1,0,0
AJK,02-03-20,0,0,0,0,0,0,0
Balochistan,02-03-20,0,0,0,0,0,0,0
GB,02-03-20,1,0,0,1,0,0,0
ICT,02-03-20,0,0,0,0,0,0,0
KP,02-03-20,0,0,0,0,0,0,0
Punjab,02-03-20,0,0,0,0,0,0,0
Sindh,02-03-20,1,0,0,1,0,0,0
