Country,Report_Date,Confirmed,Deaths,Recovered,Active,New Confirmed,New Deaths,New Recovered
Pakistan,25-02-20,2,0,0,2,2,0,0
Pakistan,26-02-20,2,0,0,2,0,0,0
Pakistan,27-02-20,2,0,0,2,0,0,0
Pakistan,28-02-20,4,0,0,4,2,0,0
Pakistan,29-02-20,4,0,0,4,0,0,0
Pakistan,01-03-20,4,0,0,4,0,0,0
Pakistan,02-03-20,5,0,0,5,1,0,0
Pakistan,03-03-20,5,0,0,5,0,0,0
Pakistan,04-03-20,5,0,0,5,0,0,0
Pakistan,05-03-20,6,0,0,6,1,0,0
Pakistan,06-03-20,6,0,0,6,0,0,0
Pakistan,07-03-20,6,0,1,5,0,0,1
Pakistan,08-03-20,6,0,1,5,0,0,0
Pakistan,09-03-20,16,0,1,15,10,0,0
Pakistan,10-03-20,19,0,2,17,3,0,1
Pakistan,11-03-20,20,0,2,18,1,0,0
Pakistan,12-03-20,28,0,2,26,8,0,0
Pakistan,13-03-20,31,0,2,29,3,0,0
Pakistan,14-03-20,53,0,2,51,22,0,0
Pakistan,15-03-20,136,0,2,134,83,0,0
Pakistan,16-03-20,236,0,2,234,100,0,0
Pakistan,17-03-20,299,0,2,297,63,0,0
Pakistan,18-03-20,454,2,13,439,155,2,11
Pakistan,19-03-20,501,3,13,485,47,1,0
Pakistan,20-03-20,730,3,13,714,229,0,0
Pakistan,21-03-20,776,5,5,766,46,2,-8
Pakistan,22-03-20,875,6,5,864,99,1,0
Pakistan,23-03-20,972,7,18,947,97,1,13
Pakistan,24-03-20,1063,8,21,1034,91,1,3
Pakistan,25-03-20,1201,9,21,1171,138,1,0
Pakistan,26-03-20,1373,11,23,1339,172,2,2
Pakistan,27-03-20,1495,12,29,1454,122,1,6
Pakistan,28-03-20,1597,14,29,1554,102,2,0
Pakistan,29-03-20,1717,21,76,1620,120,7,47
Pakistan,30-03-20,1938,26,76,1836,221,5,0
Pakistan,31-03-20,2118,27,94,1997,180,1,18
Pakistan,01-04-20,2421,34,125,2262,303,7,31
Pakistan,02-04-20,2686,40,126,2520,265,6,1
Pakistan,03-04-20,2818,41,131,2646,132,1,5
Pakistan,04-04-20,3157,47,211,2899,339,6,80
Pakistan,05-04-20,3766,53,259,3454,609,6,48
Pakistan,06-04-20,4035,57,429,3549,269,4,170
Pakistan,07-04-20,4263,61,467,3735,228,4,38
